                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.34152,                0.33452,                0.81787,                  0.995,                0.99262,                0.99449,                0.96254,                0.14327,                0.09174,                0.75468,               0.006568,               0.006568,               0.006568
                    107,                0.33897,                0.33302,                0.81721,                0.99575,                0.99186,                 0.9945,                0.96246,                0.14321,                0.09177,                 0.7547,               0.006535,               0.006535,               0.006535
                    108,                0.34032,                0.33794,                0.81768,                0.99535,                 0.9923,                0.99457,                 0.9627,                0.14313,                0.09128,                0.75463,               0.006502,               0.006502,               0.006502
                    109,                 0.3076,                0.25235,                 0.8079,                0.99568,                0.99185,                 0.9945,                0.96269,                0.14313,                0.09158,                0.75461,               0.006469,               0.006469,               0.006469
                    110,                0.32099,                0.27974,                0.81148,                0.99575,                0.99173,                0.99451,                0.96259,                 0.1431,                0.09125,                0.75463,               0.006436,               0.006436,               0.006436
                    111,                0.32004,                0.28627,                0.81148,                0.99554,                0.99182,                 0.9945,                0.96261,                0.14313,                0.09112,                0.75464,               0.006403,               0.006403,               0.006403
                    112,                0.32282,                0.29167,                 0.8133,                0.99559,                0.99179,                0.99449,                0.96256,                0.14302,                0.09114,                0.75463,                0.00637,                0.00637,                0.00637
                    113,                 0.3254,                0.29372,                0.81382,                 0.9957,                0.99192,                0.99447,                0.96261,                0.14302,                0.09127,                0.75459,               0.006337,               0.006337,               0.006337
                    114,                 0.3257,                0.29473,                0.81299,                  0.996,                0.99181,                0.99445,                0.96276,                0.14296,                0.09107,                0.75461,               0.006304,               0.006304,               0.006304
                    115,                0.32426,                0.29524,                0.81388,                0.99569,                0.99192,                0.99445,                0.96263,                0.14293,                0.09136,                 0.7546,               0.006271,               0.006271,               0.006271
                    116,                0.32666,                0.29937,                0.81335,                0.99581,                 0.9919,                0.99444,                0.96243,                0.14293,                0.09113,                0.75461,               0.006238,               0.006238,               0.006238
                    117,                0.32619,                0.29989,                0.81563,                0.99579,                  0.992,                0.99443,                0.96252,                 0.1429,                0.09095,                 0.7546,               0.006205,               0.006205,               0.006205
                    118,                0.32808,                0.30264,                0.81383,                0.99577,                0.99194,                0.99442,                0.96266,                0.14291,                0.09096,                0.75457,               0.006172,               0.006172,               0.006172
                    119,                0.32603,                0.29712,                0.81367,                0.99556,                0.99217,                0.99442,                0.96269,                0.14289,                0.09104,                0.75456,               0.006139,               0.006139,               0.006139
                    120,                0.32578,                0.30017,                0.81361,                 0.9956,                0.99201,                0.99442,                0.96276,                0.14282,                0.09107,                0.75455,               0.006106,               0.006106,               0.006106
                    121,                0.32638,                0.30191,                0.81349,                0.99568,                0.99204,                0.99441,                0.96256,                0.14282,                0.09106,                0.75454,               0.006073,               0.006073,               0.006073
                    122,                0.32912,                0.30645,                0.81463,                0.99516,                0.99225,                0.99441,                0.96257,                0.14281,                0.09078,                0.75453,                0.00604,                0.00604,                0.00604
                    123,                0.33073,                0.31335,                0.81592,                0.99566,                0.99218,                0.99441,                0.96267,                0.14269,                0.09087,                0.75452,               0.006007,               0.006007,               0.006007
                    124,                0.33358,                0.31643,                0.81623,                 0.9961,                0.99179,                 0.9944,                 0.9626,                0.14266,                 0.0912,                0.75456,               0.005974,               0.005974,               0.005974
                    125,                0.33646,                 0.3249,                0.81687,                0.99567,                0.99217,                 0.9944,                0.96264,                0.14261,                0.09108,                0.75456,               0.005941,               0.005941,               0.005941
                    126,                0.33278,                0.32324,                0.81561,                0.99578,                0.99223,                 0.9944,                0.96266,                 0.1426,                0.09089,                0.75454,               0.005908,               0.005908,               0.005908
                    127,                0.33353,                0.32446,                0.81612,                0.99581,                0.99228,                 0.9944,                0.96295,                0.14255,                0.09095,                0.75453,               0.005875,               0.005875,               0.005875
                    128,                0.33342,                 0.3263,                0.81694,                0.99596,                0.99218,                0.99442,                0.96289,                0.14252,                0.09114,                0.75455,               0.005842,               0.005842,               0.005842
                    129,                0.33467,                0.32721,                0.81633,                0.99594,                0.99224,                0.99443,                0.96289,                 0.1425,                0.09067,                0.75456,               0.005809,               0.005809,               0.005809
                    130,                0.33687,                0.32653,                0.81597,                0.99573,                0.99242,                0.99445,                0.96292,                0.14244,                0.09066,                 0.7545,               0.005776,               0.005776,               0.005776
                    131,                0.29728,                0.23454,                0.80515,                0.99583,                0.99234,                0.99445,                0.96297,                0.14243,                0.09045,                0.75454,               0.005743,               0.005743,               0.005743
                    132,                0.31115,                0.26129,                0.80904,                0.99571,                0.99245,                0.99445,                 0.9631,                0.14229,                0.09039,                0.75454,                0.00571,                0.00571,                0.00571
                    133,                0.31084,                0.26805,                0.80887,                 0.9957,                0.99246,                0.99445,                0.96306,                0.14227,                0.09066,                0.75451,               0.005677,               0.005677,               0.005677
                    134,                0.31363,                0.27171,                0.81074,                0.99577,                0.99242,                0.99445,                0.96309,                0.14228,                0.09051,                0.75447,               0.005644,               0.005644,               0.005644
